,Transaction_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Is_Fraud
35,147885.0,9.0,08:59,2025-01-17,ATM,Electronics,Lahore,Karachi,227.0,7.150.236.105,Credit,36.0,3.0,15.0,2.0,5.0,0,1,2.0,1,1.0,0
36,350207.0,7.0,12:53,2025-03-26,ATM,ATM,Kuala Lumpur,Lahore,233.0,233.127.205.101,Debit,29.0,1.0,3.0,5.0,2.0,1,1,0.0,1,1.0,0
37,229279.0,2.0,09:53,2025-04-22,ATM,ATM,Multan,Karachi,489.0,156.212.122.12,Credit,8.0,6.0,1.0,3.0,5.0,0,1,2.0,0,1.0,0
38,620899.0,4.0,07:35,2025-04-20,Online,Electronics,Islamabad,Islamabad,597.0,119.83.8.139,Credit,23.0,7.0,24.0,3.0,7.0,0,0,1.0,1,1.0,0
39,806879.0,9.0,23:35,2025-01-05,Online,Clothing,Dubai,Lahore,34.0,112.37.18.88,Debit,14.0,1.0,11.0,2.0,1.0,0,0,1.0,1,0.0,0
40,654260.0,4.0,13:41,2025-02-18,ATM,Grocery,Lahore,Lahore,531.0,45.191.146.183,Debit,8.0,1.0,13.0,1.0,9.0,1,1,1.0,1,0.0,0
41,647022.0,7.0,07:33,2025-03-09,POS,Restaurant,Kuala Lumpur,Karachi,536.0,70.228.152.86,Debit,26.0,5.0,7.0,4.0,8.0,0,0,0.0,1,1.0,0
42,779293.0,9.0,13:38,2025-03-31,Online,Clothing,Faisalabad,Lahore,568.0,85.68.179.29,Debit,22.0,4.0,23.0,1.0,3.0,0,1,2.0,1,0.0,0
43,581609.0,2.0,16:20,2025-03-05,Online,Restaurant,Dubai,Lahore,177.0,238.164.5.152,Debit,22.0,1.0,24.0,3.0,1.0,0,1,2.0,0,1.0,0
44,694948.0,4.0,12:07,2025-03-14,Online,ATM,Kuala Lumpur,Karachi,524.0,110.124.245.25,Credit,37.0,4.0,20.0,4.0,5.0,0,0,0.0,1,1.0,0
45,892278.0,1.0,21:05,2025-04-16,ATM,ATM,Bangkok,Multan,432.0,227.19.55.73,Credit,15.0,7.0,7.0,2.0,4.0,1,0,2.0,1,1.0,0
46,169180.0,7.0,12:58,2025-03-11,ATM,Electronics,Lahore,Lahore,386.0,117.10.214.186,Credit,16.0,1.0,18.0,2.0,4.0,0,0,1.0,1,0.0,0
47,575966.0,7.0,04:09,2025-03-23,ATM,Electronics,Bangkok,Multan,291.0,225.196.247.80,Credit,11.0,6.0,7.0,5.0,1.0,1,1,0.0,1,0.0,0
48,587203.0,1.0,16:20,2025-04-19,POS,ATM,Karachi,Islamabad,133.0,34.88.155.240,Credit,23.0,7.0,13.0,5.0,8.0,1,1,0.0,0,0.0,0
49,259846.0,3.0,15:00,2025-01-13,Online,ATM,Singapore,Multan,223.0,38.35.47.38,Credit,35.0,1.0,3.0,3.0,1.0,0,0,2.0,0,0.0,0
50,274655.0,6.0,04:12,2025-01-12,Online,ATM,Faisalabad,Multan,414.0,119.198.219.148,Credit,14.0,4.0,2.0,2.0,8.0,0,1,2.0,0,1.0,0
51,613989.0,6.0,03:59,2025-01-24,POS,Fuel,Karachi,Multan,360.0,119.231.1.206,Debit,5.0,2.0,23.0,3.0,7.0,1,0,0.0,1,0.0,0
52,426235.0,8.0,10:53,2025-04-06,Online,Fuel,Faisalabad,Multan,513.0,139.69.114.162,Debit,30.0,1.0,10.0,3.0,4.0,0,0,0.0,1,1.0,0
53,757195.0,9.0,09:52,2025-03-12,POS,Grocery,Bangkok,Faisalabad,570.0,6.28.56.120,Credit,38.0,2.0,10.0,2.0,1.0,0,1,1.0,1,0.0,0
54,758559.0,6.0,18:50,2025-04-15,POS,Clothing,Karachi,Faisalabad,315.0,202.79.161.218,Debit,38.0,6.0,9.0,3.0,1.0,0,1,1.0,0,1.0,0
55,402639.0,3.0,17:03,2025-01-08,POS,ATM,Islamabad,Karachi,246.0,136.75.183.254,Debit,29.0,5.0,16.0,3.0,3.0,0,1,0.0,1,0.0,0
56,352453.0,4.0,01:00,2025-02-27,Online,Electronics,Bangkok,Karachi,7.0,109.143.98.76,Credit,4.0,3.0,22.0,2.0,5.0,0,0,1.0,1,1.0,0
57,138042.0,7.0,18:19,2025-01-21,POS,Grocery,Multan,Multan,424.0,80.31.142.152,Credit,10.0,1.0,23.0,5.0,4.0,0,0,2.0,1,0.0,0
58,961701.0,1.0,04:36,2025-01-02,ATM,Clothing,Kuala Lumpur,Karachi,490.0,13.136.207.49,Credit,26.0,5.0,13.0,3.0,7.0,1,1,1.0,0,0.0,0
59,621936.0,7.0,07:34,2025-01-19,ATM,Grocery,Singapore,Lahore,521.0,91.201.17.189,Debit,9.0,7.0,4.0,4.0,4.0,1,1,1.0,1,1.0,0
60,315812.0,4.0,00:31,2025-03-24,ATM,Electronics,Bangkok,Faisalabad,489.0,31.244.134.146,Credit,34.0,5.0,23.0,2.0,5.0,1,1,1.0,0,0.0,0
61,706557.0,4.0,19:46,2025-03-09,POS,ATM,London,Faisalabad,527.0,120.206.185.201,Credit,21.0,7.0,5.0,1.0,8.0,1,0,2.0,1,1.0,0
62,839296.0,7.0,16:59,2025-03-09,ATM,Fuel,Singapore,Islamabad,507.0,238.206.195.41,Debit,10.0,4.0,2.0,1.0,5.0,1,0,2.0,0,1.0,0
63,413186.0,9.0,12:53,2025-03-15,POS,ATM,Karachi,Lahore,280.0,251.217.71.200,Credit,26.0,5.0,3.0,1.0,1.0,1,1,1.0,1,0.0,0
64,541122.0,5.0,17:55,2025-02-10,Online,Electronics,Lahore,Multan,4.0,60.193.210.123,Credit,31.0,5.0,7.0,1.0,4.0,0,1,2.0,0,0.0,0
65,140346.0,5.0,21:19,2025-01-21,ATM,Restaurant,Lahore,Multan,316.0,186.131.224.43,Debit,29.0,6.0,14.0,3.0,4.0,1,0,2.0,0,0.0,0
66,225903.0,3.0,06:22,2025-03-13,Online,Electronics,Multan,Islamabad,434.0,84.51.75.149,Credit,23.0,1.0,18.0,3.0,1.0,0,0,0.0,0,1.0,0
67,144714.0,8.0,11:21,2025-01-09,Online,Grocery,Multan,Lahore,79.0,38.194.176.201,Debit,5.0,4.0,16.0,1.0,7.0,1,1,1.0,0,1.0,0
68,945149.0,6.0,14:20,2025-01-03,Online,Fuel,Karachi,Faisalabad,63.0,242.224.146.222,Credit,13.0,1.0,21.0,4.0,6.0,1,0,0.0,1,0.0,1
69,420346.0,3.0,00:43,2025-02-14,Online,Clothing,Singapore,Faisalabad,87.0,198.18.85.240,Debit,31.0,2.0,16.0,4.0,5.0,0,0,1.0,1,0.0,0
70,357503.0,9.0,09:12,2025-01-12,POS,Fuel,Dubai,Multan,303.0,142.151.97.14,Debit,27.0,1.0,20.0,1.0,9.0,0,1,0.0,1,1.0,0
71,150587.0,6.0,19:17,2025-04-22,Online,ATM,Faisalabad,Islamabad,492.0,182.123.14.134,Credit,14.0,5.0,1.0,2.0,6.0,0,0,1.0,0,1.0,0
72,595203.0,9.0,12:48,2025-04-20,POS,Electronics,Lahore,Faisalabad,138.0,95.68.240.74,Credit,27.0,1.0,12.0,2.0,9.0,0,1,0.0,1,1.0,0
73,194589.0,6.0,18:27,2025-03-23,ATM,Grocery,Bangkok,Faisalabad,347.0,106.106.247.59,Credit,8.0,6.0,19.0,3.0,4.0,1,0,2.0,1,0.0,0
74,607695.0,3.0,19:45,2025-01-17,ATM,Grocery,Karachi,Lahore,34.0,224.200.76.108,Credit,7.0,7.0,21.0,3.0,5.0,1,0,0.0,1,1.0,0
75,627036.0,4.0,20:32,2025-01-13,ATM,Grocery,Islamabad,Faisalabad,434.0,138.74.159.180,Debit,24.0,1.0,15.0,2.0,6.0,1,0,0.0,1,0.0,0
76,696280.0,6.0,02:57,2025-01-14,Online,Fuel,Bangkok,Karachi,368.0,190.44.224.53,Credit,36.0,3.0,24.0,2.0,2.0,1,1,1.0,1,1.0,0
77,621981.0,6.0,17:57,2025-01-13,Online,Grocery,Kuala Lumpur,Faisalabad,224.0,135.244.80.104,Debit,18.0,5.0,11.0,4.0,8.0,1,0,2.0,1,1.0,0
78,809533.0,9.0,20:29,2025-02-20,Online,Restaurant,London,Faisalabad,276.0,239.199.9.37,Credit,25.0,1.0,17.0,4.0,5.0,1,0,2.0,0,0.0,0
79,190919.0,3.0,02:22,2025-01-05,POS,Fuel,Lahore,Lahore,231.0,154.246.233.145,Credit,14.0,1.0,7.0,5.0,2.0,1,1,0.0,1,0.0,0
80,626386.0,9.0,09:02,2025-04-03,POS,ATM,Kuala Lumpur,Faisalabad,64.0,62.111.41.35,Debit,22.0,7.0,10.0,1.0,9.0,1,1,2.0,1,1.0,0
81,706641.0,5.0,03:12,2025-03-29,POS,Electronics,Bangkok,Islamabad,242.0,63.101.16.54,Credit,26.0,3.0,15.0,3.0,5.0,0,1,1.0,1,0.0,0
82,435405.0,1.0,18:07,2025-01-29,POS,Grocery,London,Lahore,79.0,33.173.56.165,Debit,14.0,3.0,16.0,4.0,1.0,1,0,1.0,1,1.0,0
83,382372.0,8.0,13:31,2025-02-06,POS,Electronics,Kuala Lumpur,Multan,420.0,102.25.35.213,Credit,6.0,1.0,12.0,4.0,9.0,1,0,2.0,1,0.0,0
84,508127.0,4.0,03:07,2025-03-22,Online,Electronics,Multan,Lahore,285.0,81.69.230.75,Debit,6.0,6.0,1.0,1.0,6.0,1,1,0.0,1,0.0,0
85,222322.0,3.0,17:20,2025-03-27,POS,Clothing,Bangkok,Lahore,141.0,145.81.186.219,Credit,30.0,1.0,6.0,5.0,2.0,0,1,0.0,1,1.0,0
86,756819.0,5.0,08:17,2025-03-24,Online,Clothing,Islamabad,Multan,32.0,197.110.247.47,Credit,25.0,2.0,3.0,2.0,9.0,0,1,1.0,1,1.0,0
87,292073.0,6.0,17:25,2025-04-08,ATM,Fuel,Faisalabad,Faisalabad,389.0,171.126.162.244,Credit,14.0,4.0,5.0,1.0,3.0,0,1,1.0,1,1.0,0
88,963505.0,9.0,01:32,2025-01-23,Online,Grocery,Kuala Lumpur,Islamabad,46.0,156.160.56.226,Credit,18.0,1.0,1.0,5.0,6.0,0,1,2.0,1,0.0,0
89,970983.0,8.0,14:43,2025-01-26,Online,Restaurant,Kuala Lumpur,Karachi,556.0,244.134.33.156,Credit,17.0,7.0,23.0,5.0,3.0,1,0,0.0,0,0.0,0
90,508405.0,1.0,06:05,2025-02-12,POS,Clothing,Lahore,Lahore,372.0,193.109.160.129,Debit,36.0,7.0,9.0,5.0,3.0,1,1,1.0,0,1.0,0
91,293990.0,6.0,18:15,2025-03-01,ATM,ATM,London,Faisalabad,561.0,191.195.254.158,Credit,29.0,6.0,22.0,1.0,1.0,0,1,2.0,1,0.0,0
92,513565.0,3.0,01:44,2025-01-30,ATM,Grocery,Lahore,Lahore,83.0,231.121.57.175,Credit,38.0,5.0,16.0,1.0,2.0,1,0,2.0,1,0.0,0
93,578751.0,9.0,01:29,2025-03-29,ATM,Grocery,London,Islamabad,491.0,38.222.71.162,Debit,7.0,1.0,22.0,3.0,3.0,0,0,0.0,1,0.0,0
94,810819.0,1.0,19:29,2025-01-02,ATM,Grocery,Kuala Lumpur,Faisalabad,45.0,240.63.30.55,Credit,32.0,3.0,5.0,4.0,7.0,0,1,2.0,1,1.0,0
95,603311.0,2.0,09:25,2025-04-27,Online,Restaurant,Singapore,Faisalabad,596.0,197.199.30.181,Credit,21.0,1.0,10.0,4.0,2.0,0,1,1.0,0,1.0,0
96,478545.0,4.0,22:43,2025-04-27,POS,Electronics,Lahore,Multan,5.0,130.148.84.163,Credit,26.0,3.0,23.0,5.0,1.0,0,1,2.0,0,1.0,1
97,896253.0,3.0,16:50,2025-02-17,ATM,Electronics,Dubai,Lahore,218.0,40.218.25.47,Debit,27.0,2.0,5.0,1.0,8.0,1,1,2.0,0,0.0,0
98,229720.0,9.0,11:55,2025-02-01,POS,Fuel,Bangkok,Karachi,11.0,234.143.106.193,Credit,13.0,1.0,18.0,2.0,3.0,1,1,0.0,0,0.0,0
99,975288.0,1.0,20:31,2025-01-08,POS,Clothing,Dubai,Lahore,553.0,183.179.127.18,Credit,20.0,1.0,6.0,1.0,3.0,0,0,1.0,1,0.0,0
100,198083.0,7.0,22:41,2025-04-24,Online,Fuel,Multan,Multan,328.0,230.96.197.189,Debit,3.0,5.0,3.0,1.0,7.0,0,1,0.0,1,0.0,0
101,623581.0,3.0,21:39,2025-04-02,Online,Fuel,Faisalabad,Islamabad,193.0,38.127.144.252,Credit,13.0,5.0,18.0,3.0,4.0,1,0,2.0,1,1.0,0
102,700704.0,1.0,20:01,2025-01-21,ATM,Fuel,Singapore,Lahore,266.0,187.230.247.24,Credit,29.0,6.0,9.0,5.0,3.0,0,1,2.0,1,0.0,0
103,908650.0,3.0,23:24,2025-01-15,ATM,Grocery,Kuala Lumpur,Faisalabad,426.0,207.11.25.121,Credit,33.0,2.0,5.0,5.0,2.0,1,0,1.0,0,1.0,0
104,828626.0,6.0,15:16,2025-04-20,POS,Fuel,Kuala Lumpur,Lahore,45.0,3.136.74.210,Debit,19.0,2.0,16.0,1.0,3.0,0,0,0.0,1,0.0,0
105,408139.0,5.0,02:49,2025-01-19,POS,Electronics,Singapore,Islamabad,214.0,44.23.166.113,Debit,39.0,4.0,22.0,5.0,6.0,0,1,1.0,1,1.0,0
106,984802.0,1.0,20:39,2025-01-05,ATM,Restaurant,Kuala Lumpur,Multan,13.0,87.214.235.101,Debit,30.0,6.0,12.0,3.0,9.0,0,0,2.0,0,0.0,0
107,450449.0,4.0,20:54,2025-03-23,Online,Clothing,Bangkok,Karachi,396.0,249.25.246.216,Debit,37.0,5.0,3.0,5.0,1.0,0,0,1.0,0,0.0,0
108,303487.0,1.0,07:19,2025-04-05,Online,ATM,Karachi,Faisalabad,318.0,87.187.201.105,Credit,24.0,1.0,16.0,1.0,3.0,0,1,0.0,0,0.0,0
109,253307.0,4.0,17:38,2025-04-10,ATM,ATM,London,Karachi,97.0,245.8.91.227,Credit,30.0,1.0,2.0,1.0,9.0,1,0,2.0,0,1.0,0
110,866112.0,2.0,11:04,2025-03-22,Online,Electronics,Multan,Multan,434.0,227.108.74.213,Debit,18.0,5.0,6.0,2.0,2.0,0,1,0.0,1,0.0,0
111,767788.0,3.0,07:19,2025-02-27,ATM,Fuel,Faisalabad,Lahore,136.0,230.110.12.123,Credit,37.0,5.0,16.0,3.0,7.0,0,1,0.0,1,0.0,0
112,284282.0,7.0,19:19,2025-01-21,Online,Fuel,Dubai,Karachi,257.0,255.234.246.249,Credit,38.0,2.0,4.0,1.0,6.0,0,0,2.0,0,0.0,0
113,787280.0,7.0,04:29,2025-03-14,POS,Restaurant,Kuala Lumpur,Lahore,487.0,105.224.42.52,Debit,30.0,6.0,15.0,1.0,8.0,0,0,1.0,0,0.0,0
114,607123.0,1.0,20:17,2025-04-24,ATM,Fuel,Karachi,Lahore,168.0,132.51.134.233,Credit,3.0,4.0,3.0,2.0,2.0,1,0,0.0,1,0.0,0
115,502183.0,5.0,21:36,2025-01-22,Online,ATM,Lahore,Faisalabad,502.0,98.41.246.107,Debit,5.0,3.0,8.0,2.0,5.0,0,1,2.0,0,1.0,0
116,660484.0,4.0,21:18,2025-03-12,ATM,Fuel,Multan,Faisalabad,276.0,11.90.187.82,Credit,8.0,3.0,9.0,1.0,5.0,0,1,1.0,0,1.0,0
117,339218.0,2.0,12:38,2025-03-23,POS,Clothing,Multan,Faisalabad,298.0,94.32.32.249,Credit,20.0,6.0,13.0,5.0,8.0,1,1,0.0,0,0.0,0
118,100891.0,9.0,13:05,2025-01-27,ATM,ATM,Dubai,Islamabad,433.0,35.140.233.140,Debit,32.0,6.0,8.0,5.0,5.0,0,0,2.0,1,1.0,0
119,118665.0,3.0,19:28,2025-01-13,Online,Fuel,London,Karachi,491.0,206.121.92.250,Debit,9.0,3.0,10.0,3.0,8.0,1,1,1.0,1,1.0,1
120,488052.0,1.0,01:40,2025-02-15,ATM,ATM,Lahore,Karachi,312.0,235.69.255.112,Debit,11.0,1.0,1.0,1.0,7.0,1,1,2.0,1,1.0,0
121,326856.0,3.0,13:00,2025-02-16,Online,Restaurant,Lahore,Karachi,251.0,146.101.214.107,Credit,23.0,4.0,1.0,5.0,4.0,1,1,2.0,0,1.0,0
122,430702.0,8.0,09:42,2025-01-05,ATM,Electronics,Faisalabad,Multan,237.0,95.7.26.8,Credit,22.0,1.0,18.0,3.0,1.0,0,0,1.0,1,1.0,0
123,719280.0,6.0,15:27,2025-03-11,POS,Restaurant,Karachi,Islamabad,288.0,209.239.249.173,Debit,31.0,3.0,9.0,2.0,8.0,1,0,0.0,1,0.0,0
124,174164.0,9.0,11:28,2025-04-30,Online,Grocery,Multan,Karachi,189.0,33.49.231.91,Debit,20.0,5.0,24.0,3.0,6.0,1,1,1.0,0,1.0,0
125,203560.0,5.0,15:13,2025-02-03,ATM,ATM,Lahore,Lahore,40.0,12.118.169.64,Debit,18.0,6.0,2.0,4.0,3.0,1,0,2.0,0,0.0,0
126,502836.0,8.0,10:56,2025-02-23,ATM,Restaurant,Faisalabad,Multan,41.0,235.168.116.160,Credit,26.0,1.0,2.0,1.0,3.0,0,0,2.0,1,0.0,0
127,188496.0,1.0,17:25,2025-02-16,Online,ATM,Singapore,Faisalabad,583.0,46.140.4.237,Credit,17.0,1.0,2.0,2.0,6.0,1,1,1.0,0,0.0,0
128,898547.0,6.0,05:34,2025-02-13,Online,ATM,Islamabad,Karachi,499.0,239.154.174.158,Credit,29.0,2.0,19.0,1.0,5.0,0,1,1.0,0,1.0,0
129,422536.0,9.0,19:42,2025-02-18,ATM,Clothing,Karachi,Islamabad,76.0,24.217.15.223,Credit,28.0,4.0,17.0,5.0,9.0,0,0,2.0,1,0.0,0
130,121783.0,5.0,00:07,2025-03-12,Online,Fuel,Multan,Islamabad,313.0,10.189.71.254,Debit,3.0,1.0,8.0,1.0,7.0,0,1,2.0,0,0.0,0
131,212116.0,5.0,07:42,2025-02-25,POS,ATM,Multan,Karachi,153.0,163.248.117.179,Credit,13.0,4.0,3.0,5.0,2.0,0,0,1.0,0,0.0,0
132,833847.0,4.0,17:34,2025-01-09,Online,Restaurant,Lahore,Multan,448.0,116.250.249.185,Debit,19.0,4.0,21.0,2.0,3.0,1,0,2.0,1,1.0,0
133,203295.0,1.0,05:59,2025-02-14,ATM,Clothing,Bangkok,Multan,361.0,10.139.100.253,Credit,20.0,6.0,6.0,2.0,5.0,1,1,0.0,1,0.0,0
134,228482.0,3.0,07:28,2025-02-14,POS,Grocery,Multan,Lahore,356.0,130.167.3.124,Debit,30.0,5.0,12.0,4.0,1.0,0,1,1.0,0,0.0,0
135,943497.0,8.0,06:33,2025-01-19,ATM,Grocery,Karachi,Faisalabad,139.0,110.193.17.105,Debit,13.0,7.0,7.0,3.0,1.0,0,0,0.0,1,0.0,0
136,461454.0,9.0,07:00,2025-03-17,Online,ATM,Faisalabad,Islamabad,369.0,15.146.204.139,Credit,14.0,4.0,13.0,5.0,5.0,1,0,1.0,0,0.0,0
137,553540.0,5.0,07:05,2025-01-20,Online,Restaurant,London,Islamabad,389.0,240.39.11.133,Credit,38.0,4.0,5.0,5.0,1.0,1,1,2.0,1,1.0,0
138,421180.0,5.0,17:18,2025-04-03,POS,Clothing,Lahore,Lahore,375.0,162.141.207.54,Credit,15.0,6.0,5.0,2.0,3.0,1,0,2.0,1,0.0,0
139,524582.0,6.0,03:21,2025-01-22,Online,Grocery,Lahore,Lahore,596.0,41.8.218.17,Credit,17.0,1.0,15.0,1.0,1.0,1,0,2.0,0,1.0,0
140,337756.0,6.0,02:51,2025-04-30,Online,Fuel,Karachi,Multan,179.0,18.7.112.217,Credit,32.0,6.0,24.0,1.0,9.0,0,1,1.0,1,1.0,0
141,760578.0,3.0,10:19,2025-02-01,POS,Fuel,London,Multan,170.0,82.129.119.40,Debit,8.0,1.0,20.0,3.0,5.0,0,1,0.0,0,1.0,0
142,400289.0,7.0,19:23,2025-01-01,POS,Electronics,Dubai,Lahore,339.0,124.219.31.192,Debit,32.0,4.0,18.0,3.0,5.0,0,0,2.0,1,0.0,0
143,569168.0,3.0,13:22,2025-02-24,Online,ATM,Islamabad,Multan,252.0,120.211.93.220,Credit,33.0,6.0,3.0,5.0,4.0,0,0,1.0,1,1.0,0
144,141345.0,4.0,22:24,2025-01-12,Online,Fuel,Singapore,Lahore,54.0,212.87.242.214,Debit,25.0,1.0,7.0,1.0,5.0,1,0,2.0,0,0.0,0
