,Unnamed: 0,Transaction_ID,Customer_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Is_Fraud,Transaction_Hour,Time_Diff,Min_Since_Last_Tx,Transactions_Today,Customer_Hist_Avg,Spend_to_Avg_Ratio,Customer_Hist_Max,Is_New_Spend_Record
27403,27488,483276.0,10030.0,3.0,1900-01-01 09:03:00,2025-04-19,POS,Electronics,Singapore,Faisalabad,140.0,86.164.75.233,Debit,5.0,7.0,3.0,4.0,1.0,0,0,0.0,1,1.0,1,9,,999.0,1,3.0,0.9999999996666666,3.0,1
13286,13337,904723.0,10031.0,8.0,1900-01-01 08:41:00,2025-02-06,Online,Grocery,Multan,Faisalabad,387.0,253.56.156.121,Debit,38.0,1.0,13.0,5.0,6.0,1,0,0.0,0,0.0,0,8,,999.0,1,8.0,0.999999999875,8.0,1
37738,37853,376823.0,10031.0,7.0,1900-01-01 15:01:00,2025-05-01,ATM,Restaurant,Karachi,Multan,123.0,50.153.177.178,Credit,34.0,6.0,22.0,4.0,2.0,0,0,1.0,1,1.0,0,15,0 days 06:20:00,380.0,1,7.5,0.9333333332088889,8.0,0
49291,49423,885606.0,10034.0,8.0,1900-01-01 07:06:00,2025-04-27,POS,Fuel,Singapore,Lahore,24.0,22.46.168.241,Credit,19.0,5.0,9.0,2.0,5.0,1,1,0.0,1,0.0,0,7,,999.0,1,8.0,0.999999999875,8.0,1
20308,20378,886871.0,10035.0,7.0,1900-01-01 04:44:00,2025-03-20,POS,Fuel,Singapore,Multan,133.0,232.121.22.250,Credit,3.0,4.0,24.0,3.0,4.0,1,0,0.0,0,1.0,0,4,,999.0,1,7.0,0.9999999998571428,7.0,1
4488,4505,722044.0,10036.0,5.0,1900-01-01 08:09:00,2025-03-20,Online,Fuel,Singapore,Karachi,509.0,115.168.32.177,Credit,17.0,2.0,16.0,4.0,2.0,1,0,0.0,1,1.0,0,8,,999.0,1,5.0,0.9999999998,5.0,1
33370,33474,957042.0,10036.0,6.0,1900-01-01 16:56:00,2025-03-30,ATM,Electronics,Faisalabad,Multan,496.0,169.23.223.240,Debit,24.0,7.0,16.0,2.0,1.0,1,1,1.0,0,0.0,0,16,0 days 08:47:00,527.0,1,5.5,1.0909090907107437,6.0,1
43435,43560,512092.0,10038.0,7.0,1900-01-01 11:51:00,2025-03-09,POS,Grocery,Islamabad,Faisalabad,560.0,199.213.116.12,Credit,5.0,7.0,20.0,4.0,7.0,1,0,0.0,1,0.0,0,11,,999.0,1,7.0,0.9999999998571428,7.0,1
5776,5800,762383.0,10044.0,8.0,1900-01-01 21:54:00,2025-02-13,ATM,Restaurant,Lahore,Islamabad,529.0,202.162.254.175,Debit,19.0,2.0,2.0,4.0,6.0,0,1,2.0,1,1.0,0,21,,999.0,1,8.0,0.999999999875,8.0,1
12622,12670,601938.0,10049.0,8.0,1900-01-01 14:11:00,2025-02-27,ATM,Grocery,Bangkok,Karachi,529.0,52.182.20.166,Credit,31.0,5.0,19.0,4.0,5.0,1,1,2.0,0,0.0,0,14,,999.0,1,8.0,0.999999999875,8.0,1
46,46,169180.0,10049.0,7.0,1900-01-01 12:58:00,2025-03-11,ATM,Electronics,Lahore,Lahore,386.0,117.10.214.186,Credit,16.0,1.0,18.0,2.0,4.0,0,0,1.0,1,0.0,0,12,-1 days +22:47:00,-73.0,1,7.5,0.9333333332088889,8.0,0
23316,23392,768907.0,10051.0,5.0,1900-01-01 14:09:00,2025-02-18,POS,ATM,Islamabad,Lahore,597.0,15.45.151.186,Credit,7.0,1.0,16.0,5.0,6.0,1,0,1.0,0,1.0,0,14,,999.0,1,5.0,0.9999999998,5.0,1
24812,24893,509448.0,10051.0,6.0,1900-01-01 22:49:00,2025-03-04,Online,ATM,Singapore,Karachi,548.0,93.84.141.204,Debit,17.0,6.0,24.0,2.0,7.0,1,0,1.0,0,0.0,0,22,0 days 08:40:00,520.0,1,5.5,1.0909090907107437,6.0,1
34066,34170,311813.0,10053.0,5.0,1900-01-01 02:34:00,2025-03-24,Online,Electronics,Karachi,Multan,518.0,107.29.179.173,Credit,25.0,3.0,2.0,5.0,8.0,1,1,2.0,0,0.0,0,2,,999.0,1,5.0,0.9999999998,5.0,1
35866,35978,597437.0,10058.0,4.0,1900-01-01 07:50:00,2025-04-18,ATM,ATM,Bangkok,Multan,268.0,126.227.208.45,Credit,27.0,3.0,24.0,3.0,2.0,1,0,0.0,1,0.0,0,7,,999.0,1,4.0,0.99999999975,4.0,1
15823,15880,906855.0,10059.0,3.0,1900-01-01 01:51:00,2025-01-19,ATM,Fuel,Lahore,Karachi,356.0,135.74.17.172,Credit,21.0,3.0,7.0,2.0,9.0,1,1,1.0,0,1.0,0,1,,999.0,1,3.0,0.9999999996666666,3.0,1
40454,40576,282137.0,10060.0,9.0,1900-01-01 18:52:00,2025-03-03,ATM,Restaurant,Multan,Lahore,104.0,61.126.150.211,Credit,38.0,5.0,6.0,4.0,7.0,0,1,1.0,1,0.0,0,18,,999.0,1,9.0,0.9999999998888889,9.0,1
44928,45056,285441.0,10061.0,1.0,1900-01-01 16:56:00,2025-03-23,ATM,Grocery,London,Islamabad,38.0,234.190.80.205,Credit,13.0,2.0,18.0,3.0,3.0,1,0,1.0,1,1.0,0,16,,999.0,1,1.0,0.9999999989999999,1.0,1
35156,35264,832904.0,10063.0,6.0,1900-01-01 12:13:00,2025-01-08,POS,Fuel,Karachi,Lahore,156.0,254.59.6.226,Credit,20.0,7.0,18.0,4.0,2.0,1,0,0.0,0,0.0,0,12,,999.0,1,6.0,0.9999999998333333,6.0,1
18490,18555,160146.0,10068.0,3.0,1900-01-01 02:15:00,2025-04-11,POS,Restaurant,Lahore,Multan,349.0,14.83.206.215,Credit,4.0,2.0,21.0,5.0,6.0,1,1,2.0,0,1.0,0,2,,999.0,1,3.0,0.9999999996666666,3.0,1
33009,33112,846412.0,10070.0,5.0,1900-01-01 22:15:00,2025-01-12,Online,Grocery,Kuala Lumpur,Islamabad,486.0,166.252.11.38,Debit,19.0,4.0,3.0,1.0,6.0,0,0,2.0,0,1.0,0,22,,999.0,1,5.0,0.9999999998,5.0,1
42536,42660,924256.0,10072.0,9.0,1900-01-01 18:35:00,2025-03-27,ATM,Fuel,Karachi,Islamabad,493.0,211.129.228.134,Debit,18.0,5.0,8.0,3.0,2.0,1,0,0.0,1,0.0,0,18,,999.0,1,9.0,0.9999999998888889,9.0,1
9778,9815,242274.0,10075.0,8.0,1900-01-01 08:22:00,2025-02-04,POS,Electronics,Bangkok,Lahore,184.0,171.164.136.139,Debit,24.0,7.0,9.0,1.0,3.0,1,1,1.0,1,1.0,0,8,,999.0,1,8.0,0.999999999875,8.0,1
21030,21102,211144.0,10075.0,9.0,1900-01-01 02:18:00,2025-04-21,Online,ATM,London,Islamabad,7.0,178.79.127.157,Debit,38.0,1.0,9.0,1.0,7.0,1,1,0.0,1,1.0,0,2,-1 days +17:56:00,-364.0,1,8.5,1.0588235292871973,9.0,1
39414,39534,544732.0,10077.0,4.0,1900-01-01 16:38:00,2025-03-02,ATM,Fuel,Islamabad,Faisalabad,43.0,54.66.136.57,Credit,10.0,3.0,10.0,5.0,8.0,0,0,0.0,1,1.0,0,16,,999.0,1,4.0,0.99999999975,4.0,1
35218,35326,637982.0,10080.0,1.0,1900-01-01 10:27:00,2025-01-03,Online,Electronics,Faisalabad,Faisalabad,471.0,22.13.3.154,Credit,12.0,3.0,14.0,5.0,7.0,1,0,2.0,1,0.0,0,10,,999.0,1,1.0,0.9999999989999999,1.0,1
22313,22387,686743.0,10083.0,4.0,1900-01-01 10:39:00,2025-03-02,POS,Clothing,Kuala Lumpur,Multan,289.0,50.208.99.150,Credit,16.0,2.0,24.0,3.0,9.0,0,1,2.0,1,1.0,0,10,,999.0,1,4.0,0.99999999975,4.0,1
3108,3120,548371.0,10084.0,1.0,1900-01-01 14:57:00,2025-01-07,POS,ATM,London,Multan,409.0,232.110.64.217,Credit,25.0,3.0,17.0,1.0,7.0,1,0,2.0,1,0.0,0,14,,999.0,1,1.0,0.9999999989999999,1.0,1
36502,36614,973308.0,10085.0,1.0,1900-01-01 07:33:00,2025-04-15,Online,Fuel,Karachi,Lahore,510.0,61.45.189.213,Debit,33.0,4.0,8.0,5.0,8.0,0,0,2.0,1,1.0,0,7,,999.0,1,1.0,0.9999999989999999,1.0,1
17596,17656,907592.0,10087.0,9.0,1900-01-01 18:29:00,2025-02-11,Online,Fuel,Dubai,Karachi,280.0,38.5.178.59,Credit,36.0,2.0,17.0,4.0,8.0,0,1,1.0,1,1.0,0,18,,999.0,1,9.0,0.9999999998888889,9.0,1
1634,1639,148255.0,10087.0,5.0,1900-01-01 13:47:00,2025-03-22,ATM,Restaurant,Bangkok,Faisalabad,203.0,224.220.92.37,Debit,10.0,7.0,20.0,3.0,9.0,1,1,2.0,0,0.0,0,13,-1 days +19:18:00,-282.0,1,7.0,0.7142857141836735,9.0,0
25078,25159,992427.0,10088.0,2.0,1900-01-01 23:41:00,2025-03-08,POS,Electronics,Islamabad,Lahore,587.0,131.121.208.210,Debit,11.0,5.0,17.0,5.0,6.0,0,1,0.0,1,0.0,0,23,,999.0,1,2.0,0.9999999995,2.0,1
48459,48589,534456.0,10089.0,2.0,1900-01-01 21:18:00,2025-01-20,POS,ATM,Dubai,Karachi,71.0,8.49.235.249,Credit,28.0,1.0,7.0,4.0,1.0,0,0,1.0,0,1.0,0,21,,999.0,1,2.0,0.9999999995,2.0,1
25390,25472,463901.0,10089.0,3.0,1900-01-01 08:58:00,2025-03-24,ATM,ATM,Singapore,Karachi,153.0,11.53.74.111,Debit,21.0,2.0,17.0,3.0,5.0,0,0,1.0,0,1.0,0,8,-1 days +11:40:00,-740.0,1,2.5,1.19999999952,3.0,1
15504,15559,663114.0,10093.0,3.0,1900-01-01 11:38:00,2025-01-18,Online,Fuel,Bangkok,Karachi,335.0,85.3.255.238,Credit,31.0,6.0,7.0,5.0,3.0,1,1,0.0,0,0.0,0,11,,999.0,1,3.0,0.9999999996666666,3.0,1
17846,17908,755548.0,10093.0,9.0,1900-01-01 03:22:00,2025-03-18,ATM,ATM,Multan,Multan,362.0,127.145.165.76,Debit,16.0,2.0,9.0,4.0,2.0,1,0,0.0,0,0.0,0,3,-1 days +15:44:00,-496.0,1,6.0,1.49999999975,9.0,1
13857,13909,497250.0,10096.0,4.0,1900-01-01 20:43:00,2025-02-13,Online,Electronics,London,Multan,95.0,79.3.10.123,Debit,16.0,5.0,23.0,3.0,1.0,1,0,1.0,1,0.0,0,20,,999.0,1,4.0,0.99999999975,4.0,1
24737,24818,162023.0,10100.0,4.0,1900-01-01 18:02:00,2025-04-16,Online,Clothing,Karachi,Lahore,297.0,241.236.39.14,Credit,22.0,2.0,3.0,2.0,7.0,0,0,0.0,1,0.0,0,18,,999.0,1,4.0,0.99999999975,4.0,1
2743,2754,400918.0,10101.0,4.0,1900-01-01 10:29:00,2025-03-19,ATM,Fuel,Islamabad,Islamabad,361.0,156.54.57.2,Credit,29.0,7.0,17.0,5.0,8.0,1,0,0.0,0,0.0,0,10,,999.0,1,4.0,0.99999999975,4.0,1
3193,3206,198987.0,10102.0,5.0,1900-01-01 01:07:00,2025-01-09,POS,Restaurant,Faisalabad,Karachi,443.0,251.229.49.204,Debit,9.0,6.0,7.0,1.0,2.0,1,1,2.0,0,0.0,1,1,,999.0,1,5.0,0.9999999998,5.0,1
2259,2269,461177.0,10106.0,9.0,1900-01-01 21:27:00,2025-04-25,Online,Restaurant,Faisalabad,Faisalabad,553.0,104.163.93.173,Credit,26.0,1.0,8.0,2.0,6.0,0,1,0.0,0,0.0,0,21,,999.0,1,9.0,0.9999999998888889,9.0,1
42786,42910,155279.0,10115.0,2.0,1900-01-01 15:51:00,2025-04-21,POS,Clothing,Bangkok,Islamabad,493.0,223.166.179.81,Debit,35.0,4.0,5.0,3.0,9.0,0,0,2.0,0,0.0,0,15,,999.0,1,2.0,0.9999999995,2.0,1
49684,49818,450063.0,10119.0,8.0,1900-01-01 17:56:00,2025-03-13,ATM,Electronics,Multan,Faisalabad,33.0,143.240.32.157,Credit,24.0,6.0,1.0,5.0,1.0,1,0,2.0,0,0.0,0,17,,999.0,1,8.0,0.999999999875,8.0,1
19191,19258,625341.0,10122.0,6.0,1900-01-01 23:37:00,2025-04-09,Online,Grocery,Multan,Lahore,240.0,57.191.246.237,Debit,36.0,1.0,15.0,5.0,8.0,1,1,2.0,1,0.0,1,23,,999.0,1,6.0,0.9999999998333333,6.0,1
24760,24841,148351.0,10126.0,9.0,1900-01-01 07:36:00,2025-01-24,POS,Fuel,Kuala Lumpur,Faisalabad,224.0,188.137.110.190,Credit,10.0,5.0,13.0,2.0,1.0,1,0,1.0,1,1.0,0,7,,999.0,1,9.0,0.9999999998888889,9.0,1
25860,25943,753730.0,10127.0,1.0,1900-01-01 14:12:00,2025-03-23,POS,ATM,Dubai,Lahore,267.0,8.163.168.146,Credit,34.0,5.0,10.0,1.0,8.0,1,1,2.0,0,0.0,0,14,,999.0,1,1.0,0.9999999989999999,1.0,1
8706,8742,955416.0,10134.0,4.0,1900-01-01 03:52:00,2025-03-19,Online,ATM,Bangkok,Islamabad,121.0,82.250.100.197,Debit,19.0,3.0,17.0,1.0,9.0,0,1,2.0,1,0.0,0,3,,999.0,1,4.0,0.99999999975,4.0,1
19750,19820,411514.0,10136.0,1.0,1900-01-01 06:58:00,2025-01-01,POS,Restaurant,Multan,Islamabad,120.0,214.129.223.113,Credit,38.0,4.0,16.0,3.0,6.0,0,1,1.0,0,1.0,0,6,,999.0,1,1.0,0.9999999989999999,1.0,1
31662,31760,503799.0,10139.0,9.0,1900-01-01 06:02:00,2025-04-08,ATM,ATM,Islamabad,Multan,491.0,74.194.80.105,Credit,33.0,4.0,9.0,5.0,7.0,1,0,0.0,1,0.0,0,6,,999.0,1,9.0,0.9999999998888889,9.0,1
24017,24094,301554.0,10139.0,5.0,1900-01-01 13:23:00,2025-04-17,Online,Restaurant,London,Karachi,101.0,137.98.58.101,Debit,37.0,2.0,6.0,4.0,1.0,1,1,2.0,0,1.0,0,13,0 days 07:21:00,441.0,1,7.0,0.7142857141836735,9.0,0
29379,29470,304038.0,10140.0,1.0,1900-01-01 07:17:00,2025-01-11,Online,Fuel,Singapore,Lahore,198.0,150.4.153.164,Credit,3.0,7.0,19.0,3.0,4.0,0,1,2.0,1,1.0,0,7,,999.0,1,1.0,0.9999999989999999,1.0,1
28118,28203,812067.0,10142.0,3.0,1900-01-01 01:20:00,2025-03-24,POS,Fuel,Kuala Lumpur,Faisalabad,106.0,136.122.75.30,Credit,33.0,6.0,12.0,1.0,2.0,1,1,1.0,0,0.0,0,1,,999.0,1,3.0,0.9999999996666666,3.0,1
43343,43468,898100.0,10142.0,1.0,1900-01-01 05:45:00,2025-04-01,Online,ATM,Kuala Lumpur,Faisalabad,186.0,119.210.224.180,Credit,25.0,2.0,14.0,3.0,7.0,0,1,0.0,1,0.0,0,5,0 days 04:25:00,265.0,1,2.0,0.49999999975,3.0,0
29516,29607,254126.0,10144.0,3.0,1900-01-01 13:23:00,2025-01-11,ATM,Fuel,Multan,Islamabad,347.0,153.158.74.236,Debit,25.0,5.0,5.0,2.0,9.0,1,0,1.0,0,1.0,0,13,,999.0,1,3.0,0.9999999996666666,3.0,1
5419,5441,781592.0,10148.0,6.0,1900-01-01 12:53:00,2025-02-12,POS,ATM,Karachi,Islamabad,353.0,81.217.49.175,Debit,12.0,7.0,20.0,2.0,3.0,0,0,0.0,0,1.0,0,12,,999.0,1,6.0,0.9999999998333333,6.0,1
34919,35025,154776.0,10153.0,9.0,1900-01-01 20:29:00,2025-03-24,POS,Fuel,Kuala Lumpur,Multan,314.0,126.167.130.21,Credit,8.0,7.0,12.0,3.0,7.0,0,0,0.0,1,1.0,0,20,,999.0,1,9.0,0.9999999998888889,9.0,1
2637,2648,388087.0,10156.0,7.0,1900-01-01 10:01:00,2025-03-16,POS,Fuel,Bangkok,Lahore,410.0,231.210.204.43,Debit,32.0,7.0,11.0,2.0,2.0,1,1,2.0,0,0.0,0,10,,999.0,1,7.0,0.9999999998571428,7.0,1
9750,9787,331040.0,10161.0,7.0,1900-01-01 23:01:00,2025-03-03,Online,Fuel,Bangkok,Lahore,21.0,42.224.47.117,Credit,31.0,3.0,21.0,3.0,6.0,1,1,2.0,1,1.0,0,23,,999.0,1,7.0,0.9999999998571428,7.0,1
16830,16890,834969.0,10164.0,5.0,1900-01-01 07:27:00,2025-01-14,Online,Clothing,Faisalabad,Lahore,325.0,241.182.174.109,Credit,24.0,7.0,2.0,3.0,1.0,0,0,0.0,0,0.0,0,7,,999.0,1,5.0,0.9999999998,5.0,1
47186,47316,705677.0,10166.0,8.0,1900-01-01 14:52:00,2025-01-29,POS,ATM,Singapore,Karachi,347.0,19.137.219.144,Debit,13.0,3.0,1.0,1.0,4.0,1,0,2.0,1,0.0,0,14,,999.0,1,8.0,0.999999999875,8.0,1
35223,35331,916444.0,10166.0,2.0,1900-01-01 18:02:00,2025-02-06,POS,Fuel,London,Karachi,66.0,222.190.101.77,Credit,31.0,3.0,13.0,4.0,3.0,0,1,2.0,0,0.0,0,18,0 days 03:10:00,190.0,1,5.0,0.39999999992,8.0,0
26480,26563,249346.0,10166.0,4.0,1900-01-01 04:08:00,2025-02-20,POS,ATM,London,Lahore,329.0,204.156.66.26,Debit,20.0,1.0,12.0,3.0,9.0,0,0,0.0,0,1.0,0,4,-1 days +10:06:00,-834.0,1,4.666666666666667,0.8571428569591836,8.0,0
5519,5541,884323.0,10169.0,5.0,1900-01-01 11:29:00,2025-01-25,Online,Grocery,Islamabad,Islamabad,350.0,42.230.7.138,Credit,33.0,7.0,13.0,4.0,4.0,0,0,0.0,0,1.0,0,11,,999.0,1,5.0,0.9999999998,5.0,1
20843,20914,645808.0,10172.0,2.0,1900-01-01 05:26:00,2025-01-17,Online,Fuel,Kuala Lumpur,Lahore,547.0,138.189.207.23,Credit,20.0,4.0,20.0,3.0,5.0,0,1,1.0,1,0.0,0,5,,999.0,1,2.0,0.9999999995,2.0,1
42932,43056,928632.0,10174.0,9.0,1900-01-01 07:33:00,2025-03-10,Online,Restaurant,Islamabad,Faisalabad,327.0,141.114.165.74,Debit,27.0,2.0,12.0,4.0,6.0,0,0,0.0,0,1.0,0,7,,999.0,1,9.0,0.9999999998888889,9.0,1
46926,47056,920971.0,10174.0,6.0,1900-01-01 23:53:00,2025-03-18,POS,Fuel,Bangkok,Lahore,582.0,89.248.50.7,Credit,16.0,5.0,22.0,1.0,1.0,1,0,0.0,1,0.0,0,23,0 days 16:20:00,980.0,1,7.5,0.7999999998933334,9.0,0
3296,3309,269665.0,10174.0,7.0,1900-01-01 12:56:00,2025-04-04,POS,Restaurant,Faisalabad,Islamabad,194.0,149.112.7.222,Debit,19.0,1.0,7.0,3.0,8.0,0,0,0.0,0,0.0,0,12,-1 days +13:03:00,-657.0,1,7.333333333333333,0.9545454544152893,9.0,0
22572,22647,571003.0,10175.0,6.0,1900-01-01 18:16:00,2025-01-25,POS,Grocery,Dubai,Lahore,458.0,242.251.85.138,Debit,20.0,6.0,1.0,3.0,9.0,0,1,2.0,0,1.0,0,18,,999.0,1,6.0,0.9999999998333333,6.0,1
19716,19785,369474.0,10177.0,5.0,1900-01-01 04:38:00,2025-01-15,ATM,Electronics,Singapore,Karachi,242.0,255.105.91.174,Debit,28.0,7.0,10.0,1.0,9.0,1,1,0.0,1,1.0,0,4,,999.0,1,5.0,0.9999999998,5.0,1
39561,39681,205683.0,10181.0,7.0,1900-01-01 14:01:00,2025-04-10,ATM,Restaurant,Islamabad,Multan,527.0,179.124.228.120,Credit,28.0,7.0,11.0,1.0,6.0,0,1,2.0,0,0.0,0,14,,999.0,1,7.0,0.9999999998571428,7.0,1
33970,34074,992765.0,10182.0,8.0,1900-01-01 13:46:00,2025-01-01,Online,ATM,Karachi,Islamabad,7.0,76.210.37.49,Debit,21.0,6.0,9.0,2.0,2.0,1,1,0.0,1,1.0,0,13,,999.0,1,8.0,0.999999999875,8.0,1
6218,6245,130234.0,10182.0,3.0,1900-01-01 23:15:00,2025-01-04,POS,Electronics,Bangkok,Islamabad,545.0,74.39.208.38,Debit,36.0,2.0,14.0,5.0,1.0,0,1,1.0,1,0.0,0,23,0 days 09:29:00,569.0,1,5.5,0.5454545453553719,8.0,0
13528,13580,924851.0,10182.0,8.0,1900-01-01 10:39:00,2025-02-11,POS,Electronics,Bangkok,Multan,515.0,66.158.168.159,Debit,4.0,1.0,6.0,2.0,2.0,1,1,0.0,1,1.0,0,10,-1 days +11:24:00,-756.0,1,6.333333333333333,1.2631578945373962,8.0,1
14024,14076,583985.0,10183.0,3.0,1900-01-01 12:24:00,2025-03-24,POS,Restaurant,Multan,Islamabad,566.0,50.146.56.57,Credit,36.0,7.0,12.0,3.0,6.0,0,1,0.0,1,1.0,0,12,,999.0,1,3.0,0.9999999996666666,3.0,1
12459,12507,108397.0,10186.0,5.0,1900-01-01 12:07:00,2025-02-11,POS,Electronics,Kuala Lumpur,Islamabad,450.0,168.91.118.203,Debit,30.0,7.0,22.0,1.0,2.0,1,1,2.0,0,1.0,0,12,,999.0,1,5.0,0.9999999998,5.0,1
35164,35272,846511.0,10187.0,1.0,1900-01-01 22:08:00,2025-03-15,POS,Restaurant,Islamabad,Karachi,182.0,164.140.52.191,Debit,24.0,6.0,4.0,5.0,5.0,1,0,2.0,0,1.0,0,22,,999.0,1,1.0,0.9999999989999999,1.0,1
39681,39802,951494.0,10188.0,9.0,1900-01-01 17:32:00,2025-01-20,Online,Electronics,Lahore,Karachi,580.0,118.15.147.123,Debit,21.0,5.0,17.0,4.0,9.0,1,0,1.0,0,1.0,0,17,,999.0,1,9.0,0.9999999998888889,9.0,1
8064,8097,551481.0,10189.0,3.0,1900-01-01 01:26:00,2025-02-20,Online,Fuel,Karachi,Multan,282.0,149.44.158.163,Credit,21.0,6.0,15.0,3.0,8.0,1,0,2.0,1,0.0,0,1,,999.0,1,3.0,0.9999999996666666,3.0,1
11836,11880,275793.0,10189.0,2.0,1900-01-01 21:13:00,2025-03-03,POS,Grocery,Kuala Lumpur,Lahore,245.0,196.32.200.228,Debit,28.0,4.0,12.0,5.0,9.0,0,1,0.0,0,0.0,0,21,0 days 19:47:00,1187.0,1,2.5,0.79999999968,3.0,0
2792,2803,391169.0,10190.0,6.0,1900-01-01 04:57:00,2025-02-05,ATM,ATM,Karachi,Karachi,352.0,206.104.137.5,Credit,38.0,3.0,22.0,3.0,4.0,1,0,1.0,0,0.0,0,4,,999.0,1,6.0,0.9999999998333333,6.0,1
35040,35147,380606.0,10190.0,7.0,1900-01-01 05:15:00,2025-03-16,POS,Fuel,Dubai,Islamabad,480.0,201.246.17.138,Credit,11.0,1.0,3.0,4.0,5.0,1,1,0.0,0,0.0,0,5,0 days 00:18:00,18.0,1,6.5,1.0769230767573965,7.0,1
18177,18241,160266.0,10191.0,1.0,1900-01-01 04:54:00,2025-02-27,ATM,Restaurant,Bangkok,Karachi,175.0,186.241.75.98,Credit,13.0,5.0,5.0,4.0,6.0,1,1,1.0,0,1.0,1,4,,999.0,1,1.0,0.9999999989999999,1.0,1
